Scenario;Year;Farm;Parcel;Crop;Yield (ton/ha);Area (ha);Revenue (€/ha);Variable cost (€/ha);Energy (MjKgDM/ha);Protein (kg N/ha);PDIN (kg N/ha);Protein (N/ton/ha);Nitrogen (kg/ha);Phosphorus (kg/ha);Potassium (kg/ha);Dose of active ingredient(L/ha)
Coexistence scenario;2008;LF1;3026_00;Hay;5;0.67;471.410883031083;57.9;90.4190711733333;268;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Coexistence scenario;2008;LF1;3027_00;Fodder;5;6.97;367.8;57.9;95.2906;4182;527.5;600;98.8942369677419;14.5719258064516;48.0106387096774;NA
Coexistence scenario;2008;LF1;3027_00;sMaize;16.68;6.97;2225.93670642487;324.24;308.57999172672;9765.8064;867.36;1401.12;101.18983742;93.8160956;327.193376;1.3528
Coexistence scenario;2008;LF1;3028_00;Fodder;5;3.01;367.8;57.9;95.2906;1806;527.5;600;98.8942369677419;14.5719258064516;48.0106387096774;NA
Coexistence scenario;2008;LF1;3028_00;sMaize;16.68;3.01;2225.93670642487;324.24;308.57999172672;4217.3712;867.36;1401.12;101.18983742;93.8160956;327.193376;1.3528
Coexistence scenario;2008;LF1;3029_00;Fodder;5;5.47;367.8;57.9;95.2906;3282;527.5;600;98.8942369677419;14.5719258064516;48.0106387096774;NA
Coexistence scenario;2008;LF1;3029_00;sMaize;16.68;5.47;2225.93670642487;324.24;308.57999172672;7664.1264;867.36;1401.12;101.18983742;93.8160956;327.193376;1.3528
Coexistence scenario;2008;LF1;303_00;Hay;5;2.63;471.410883031083;57.9;90.4190711733333;1052;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Coexistence scenario;2008;LF1;3030_00;Hay;5;5.1;594.010883031083;57.9;90.4190711733334;2040;395;400;0;0;0;NA
Coexistence scenario;2008;LF1;3031_00;Fodder;5;4.15;367.8;57.9;95.2906;2490;527.5;600;98.8942369677419;14.5719258064516;48.0106387096774;NA
Coexistence scenario;2008;LF1;3031_00;sMaize;16.68;4.15;2225.93670642487;324.24;308.57999172672;5814.648;867.36;1401.12;101.18983742;93.8160956;327.193376;1.3528
Coexistence scenario;2008;LF1;3032_00;Hay;5;4.67;471.410883031083;57.9;90.4190711733334;1868;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Coexistence scenario;2008;LF1;3034_00;Hay;5;0.8;471.410883031083;57.9;90.4190711733333;320;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Coexistence scenario;2008;LF1;3037_00;Hay;5;3.65;471.410883031083;57.9;90.4190711733333;1460;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Coexistence scenario;2008;LF1;3039_00;Hay;5;1.42;471.410883031083;57.9;90.4190711733334;568;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Coexistence scenario;2008;LF1;3040_00;Hay;5;0.67;594.010883031083;57.9;90.4190711733333;268;395;400;0;0;0;NA
Coexistence scenario;2008;LF1;3041_00;Hay;5;5.23;594.010883031083;57.9;90.4190711733334;2092;395;400;0;0;0;NA
Coexistence scenario;2008;LF1;3042_00;Hay;5;2.47;471.410883031083;57.9;90.4190711733334;988;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Coexistence scenario;2008;LF1;3043_00;Hay;5;3.34;471.410883031083;57.9;90.4190711733334;1336;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Coexistence scenario;2008;LF1;3044_00;Hay;5;0.28;471.410883031083;57.9;90.4190711733334;112;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Coexistence scenario;2008;LF1;3045_00;Hay;5;1.46;471.410883031083;57.9;90.4190711733334;584;395;400;30.1890043793103;17.0592048275862;59.4145131034483;2.5
Coexistence scenario;2008;LF1;307_00;WheatW;7.5;1.94;1591.73588303108;358.98;138.6996;2371.65;810;1222.5;129.200662666667;2.3;8;4.02173333333333
Coexistence scenario;2008;LF1;309_00;WheatW;7.44;5.79;1580.81168303108;358.98;137.5900032;7021.6488;803.52;1212.72;129.200662666667;2.3;8;4.02173333333333
Coexistence scenario;2008;LF2;401_00;Fodder;7.5;1.41;551.7;57.9;142.9359;1269;791.25;900;0;0;0;NA
Coexistence scenario;2008;LF2;401_00;sMaize;13.53;1.41;1839.74670642487;324.24;250.30499328912;1602.4932;703.56;1136.52;94.75350625;105.156047916667;139.77975625;2.30341666666667
Coexistence scenario;2008;LF2;4010_00;Hay;5;1.68;471.410883031083;57.9;90.4190711733334;672;395;400;14.80766;142.78815;79.32675;NA
Coexistence scenario;2008;LF2;4011_00;Hay;5;4.62;594.010883031083;57.9;90.4190711733334;1848;395;400;43.2217342222222;100.049771111111;105.45378;NA
Coexistence scenario;2008;LF2;4012_00;Fodder;7.5;1.38;551.7;57.9;142.9359;1242;791.25;900;0;0;0;NA
Coexistence scenario;2008;LF2;4012_00;sMaize;13.53;1.38;1839.74670642487;324.24;250.30499328912;1568.3976;703.56;1136.52;94.75350625;105.156047916667;139.77975625;2.30341666666667
Coexistence scenario;2008;LF2;4012_01;Fodder;7.5;1.29;551.7;57.9;142.9359;1161;791.25;900;0;0;0;NA
Coexistence scenario;2008;LF2;4012_01;sMaize;13.53;1.29;1839.74670642487;324.24;250.30499328912;1466.1108;703.56;1136.52;94.75350625;105.156047916667;139.77975625;2.30341666666667
Coexistence scenario;2008;LF2;4013_00;Hay;5;8.58;471.410883031083;57.9;90.4190711733333;3432;395;400;14.80766;142.78815;79.32675;NA
Coexistence scenario;2008;LF2;4013_01;Hay;5;0.5;471.410883031083;57.9;90.4190711733334;200;395;400;14.80766;142.78815;79.32675;NA
Coexistence scenario;2008;LF2;4014_00;WheatW;7.5;5.27;1591.73588303108;358.98;138.6996;6442.575;810;1222.5;153.869240230769;0;0;3.86684615384615
Coexistence scenario;2008;LF2;4015_00;Hay;5;0.67;594.010883031083;57.9;90.4190711733333;268;395;400;43.2217342222222;100.049771111111;105.45378;NA
Coexistence scenario;2008;LF2;4016_00;Hay;5;1.06;594.010883031083;57.9;90.4190711733334;424;395;400;43.2217342222222;100.049771111111;105.45378;NA
Coexistence scenario;2008;LF2;4018_00;Hay;5;1.87;471.410883031083;57.9;90.4190711733334;748;395;400;14.80766;142.78815;79.32675;NA
Coexistence scenario;2008;LF2;4019_00;Tritic;7.5;2.2;1729.42088303108;347.4;135.5616;1897.5;562.5;862.5;99.92500675;0;0;3.136375
Coexistence scenario;2008;LF2;402_00;Fodder;7.5;2.3;551.7;57.9;142.9359;2070;791.25;900;0;0;0;NA
Coexistence scenario;2008;LF2;402_00;sMaize;13.53;2.3;1839.74670642487;324.24;250.30499328912;2613.996;703.56;1136.52;94.75350625;105.156047916667;139.77975625;2.30341666666667
Coexistence scenario;2008;LF2;4020_00;Hay;5;0.33;471.410883031083;57.9;90.4190711733334;132;395;400;14.80766;142.78815;79.32675;NA
Coexistence scenario;2008;LF2;4021_00;Hay;5;0.84;471.410883031083;57.9;90.4190711733334;336;395;400;14.80766;142.78815;79.32675;NA
Coexistence scenario;2008;LF2;4022_00;Hay;5;0.53;471.410883031083;57.9;90.4190711733334;212;395;400;14.80766;142.78815;79.32675;NA
Coexistence scenario;2008;LF2;4025_00;Mix_CerG;7.5;5.25;2850.19523624352;57.9;135.5616;4646.25;562.5;885;31.49019;193.208975;134.143875;1.56214285714286
Coexistence scenario;2008;LF2;4026_00;Mix_CerG;7.5;1.27;2850.19523624352;57.9;135.5616;1123.95;562.5;885;31.49019;193.208975;134.143875;1.56214285714286
Coexistence scenario;2008;LF2;4027_00;Hay;5;0.61;471.410883031083;57.9;90.4190711733333;244;395;400;14.80766;142.78815;79.32675;NA
Coexistence scenario;2008;LF2;4028_00;Hay;5;0.85;471.410883031083;57.9;90.4190711733333;340;395;400;14.80766;142.78815;79.32675;NA
Coexistence scenario;2008;LF2;4031_00;Hay;5;1.51;471.410883031083;57.9;90.4190711733333;604;395;400;14.80766;142.78815;79.32675;NA
Coexistence scenario;2008;LF2;4032_00;Fodder;7.5;5.07;551.7;57.9;142.9359;4563;791.25;900;0;0;0;NA
Coexistence scenario;2008;LF2;4032_00;sMaize;13.53;5.07;1839.74670642487;324.24;250.30499328912;5762.1564;703.56;1136.52;94.75350625;105.156047916667;139.77975625;2.30341666666667
Coexistence scenario;2008;LF2;4033_00;Hay;5;0.54;471.410883031083;57.9;90.4190711733334;216;395;400;14.80766;142.78815;79.32675;NA
Coexistence scenario;2008;LF2;4034_00;Lucern;4;2.64;714.265848170976;57.9;73.97312;1890.24;468;716;25.5;25;67.5;0
Coexistence scenario;2008;LF2;4035_00;Tritic;7.5;1.61;1729.42088303108;347.4;135.5616;1388.625;562.5;862.5;99.92500675;0;0;3.136375
Coexistence scenario;2008;LF2;4036_00;Fodder;7.5;1.32;551.7;57.9;142.9359;1188;791.25;900;0;0;0;NA
Coexistence scenario;2008;LF2;4036_00;sMaize;13.53;1.32;1839.74670642487;324.24;250.30499328912;1500.2064;703.56;1136.52;94.75350625;105.156047916667;139.77975625;2.30341666666667
Coexistence scenario;2008;LF2;4037_00;Tritic;7.5;2.43;1729.42088303108;347.4;135.5616;2095.875;562.5;862.5;99.92500675;0;0;3.136375
Coexistence scenario;2008;LF2;4038_00;Hay;5;3.1;471.410883031083;57.9;90.4190711733334;1240;395;400;14.80766;142.78815;79.32675;NA
Coexistence scenario;2008;LF2;4039_00;Hay;5;0.64;471.410883031083;57.9;90.4190711733333;256;395;400;14.80766;142.78815;79.32675;NA
Coexistence scenario;2008;LF2;404_00;Fodder;7.5;4.83;551.7;57.9;142.9359;4347;791.25;900;0;0;0;NA
Coexistence scenario;2008;LF2;404_00;sMaize;13.53;4.83;1839.74670642487;324.24;250.30499328912;5489.3916;703.56;1136.52;94.75350625;105.156047916667;139.77975625;2.30341666666667
Coexistence scenario;2008;LF2;405_00;Fodder;7.5;2.03;551.7;57.9;142.9359;1827;791.25;900;0;0;0;NA
Coexistence scenario;2008;LF2;405_00;sMaize;13.53;2.03;1839.74670642487;324.24;250.30499328912;2307.1356;703.56;1136.52;94.75350625;105.156047916667;139.77975625;2.30341666666667
Coexistence scenario;2008;LF2;4050_00;Hay;5;0.56;471.410883031083;57.9;90.4190711733334;224;395;400;14.80766;142.78815;79.32675;NA
Coexistence scenario;2008;LF2;4051_00;Hay;5;0.11;471.410883031083;57.9;90.4190711733333;44;395;400;14.80766;142.78815;79.32675;NA
Coexistence scenario;2008;LF2;406_00;Tritic;7.5;3.99;1729.42088303108;347.4;135.5616;3441.375;562.5;862.5;99.92500675;0;0;3.136375
Coexistence scenario;2008;LF2;407_00;WheatW;7.5;9.46;1591.73588303108;358.98;138.6996;11564.85;810;1222.5;153.869240230769;0;0;3.86684615384615
Coexistence scenario;2008;LF2;408_00;WheatW;7.5;5.94;1591.73588303108;358.98;138.6996;7261.65;810;1222.5;153.869240230769;0;0;3.86684615384615
Coexistence scenario;2008;LF2;409_00;Mix_CerG;7.5;1.37;2850.19523624352;57.9;135.5616;1212.45;562.5;885;31.49019;193.208975;134.143875;1.56214285714286
Coexistence scenario;2009;AF1;101_00;WheatW;7.5;2.18;996.452245916752;272.18;138.6996;2665.05;810;1222.5;127.619732571429;8.92857142857143;7.14285714285714;3.27585714285714
Coexistence scenario;2009;AF1;102_00;BarleyW;7;1.51;997.127245916752;263.4;128.28144;1183.84;539;784;81.777788;0;0;2.725
Coexistence scenario;2009;AF1;103_00;BarleyW;7;5.65;997.127245916752;263.4;128.28144;4429.6;539;784;81.777788;0;0;2.725
Coexistence scenario;2009;AF1;104_00;Fodder;7.5;4.36;361.8;43.9;142.9359;3924;791.25;900;0;0;0;NA
Coexistence scenario;2009;AF1;104_00;gMaize;10.75;4.36;1431.45974591675;245.84;200.1521;4171.43;741.75;956.75;85.16446625;211.25280625;158.64348625;0.670166666666667
Coexistence scenario;2009;AF1;104_01;Fodder;7.5;5.7;361.8;43.9;142.9359;5130;791.25;900;0;0;0;NA
Coexistence scenario;2009;AF1;104_01;gMaize;10.75;5.7;1431.45974591675;245.84;200.1521;5453.475;741.75;956.75;85.16446625;211.25280625;158.64348625;0.670166666666667
Coexistence scenario;2009;AF1;105_00;WheatW;7.5;0.82;996.452245916752;272.18;138.6996;1002.45;810;1222.5;127.619732571429;8.92857142857143;7.14285714285714;3.27585714285714
Coexistence scenario;2009;AF1;106_00;Fodder;7.5;1.8;361.8;43.9;142.9359;1620;791.25;900;0;0;0;NA
Coexistence scenario;2009;AF1;106_00;sMaize;16.97;1.8;1550.5697967334;245.84;313.94499158288;2565.864;882.44;1425.48;102.6;257.2;180;0.871
Coexistence scenario;2009;AF1;1060_00;WheatW;7.5;0.72;996.452245916752;272.18;138.6996;880.2;810;1222.5;140.7651305;0;0;2.3917
Coexistence scenario;2009;AF1;1061_00;Fodder;7.5;0.09;361.8;43.9;142.9359;81;791.25;900;0;0;0;NA
Coexistence scenario;2009;AF1;1061_00;gMaize;10.75;0.09;1431.45974591675;245.84;200.1521;86.1075;741.75;956.75;85.16446625;211.25280625;158.64348625;0.670166666666667
Coexistence scenario;2009;AF1;107_00;OSR;5.2;2.83;1668.02084591675;263.4;150.992192;2972.632;660.4;1050.4;76;112.5;90;3.28333333333333
Coexistence scenario;2009;AF1;108_00;Fodder;7.5;1.69;361.8;43.9;142.9359;1521;791.25;900;0;0;0;NA
Coexistence scenario;2009;AF1;108_00;gMaize;10.75;1.69;1431.45974591675;245.84;200.1521;1616.9075;741.75;956.75;102.6;257.2;180;0.871
Coexistence scenario;2009;AF1;109_00;Fodder;7.5;15.51;361.8;43.9;142.9359;13959;791.25;900;0;0;0;NA
Coexistence scenario;2009;AF1;109_00;gMaize;10.75;15.51;1431.45974591675;245.84;200.1521;14839.1925;741.75;956.75;85.16446625;211.25280625;158.64348625;0.670166666666667
Coexistence scenario;2009;AF2;201_00;Hay;5;9.75;393.527245916752;43.9;90.4190711733334;3900;395;400;0;0;0;NA
Coexistence scenario;2009;AF2;2010_00;Hay;5;2.53;393.527245916752;43.9;90.4190711733333;1012;395;400;0;0;0;NA
Coexistence scenario;2009;AF2;2012_00;WheatW;7.21;5.59;966.921545916752;272.18;133.3365488;6569.5357;778.68;1175.23;163.8442875;49.149375;40.213125;6.154875
Coexistence scenario;2009;AF2;2013_00;WheatW;7.21;6.22;966.921545916752;272.18;133.3365488;7309.9306;778.68;1175.23;163.8442875;49.149375;40.213125;6.154875
Coexistence scenario;2009;AF2;2014_00;WheatW;7.5;8.08;996.452245916752;272.18;138.6996;9877.8;810;1222.5;163.8442875;49.149375;40.213125;6.154875
Coexistence scenario;2009;AF2;2015_00;Hay;5;4.79;393.527245916752;43.9;90.4190711733333;1916;395;400;0;0;0;NA
Coexistence scenario;2009;AF2;2016_00;Hay;5;4.75;393.527245916752;43.9;90.4190711733333;1900;395;400;0;0;0;NA
Coexistence scenario;2009;AF2;2017_00;Hay;5;3.64;393.527245916752;43.9;90.4190711733333;1456;395;400;0;0;0;NA
Coexistence scenario;2009;AF2;2018_00;Hay;5;8.16;393.527245916752;43.9;90.4190711733333;3264;395;400;0;0;0;NA
Coexistence scenario;2009;AF2;2019_00;WheatW;7.21;5.94;966.921545916752;272.18;133.3365488;6980.8662;778.68;1175.23;181.57875;30.9375;25.3125;6.623
Coexistence scenario;2009;AF2;202_00;Hay;5;2.34;393.527245916752;43.9;90.4190711733334;936;395;400;0;0;0;NA
Coexistence scenario;2009;AF2;2020_00;Hay;5;2.28;393.527245916752;43.9;90.4190711733333;912;395;400;0;0;0;NA
Coexistence scenario;2009;AF2;2021_00;WheatW;7.21;10.64;966.921545916752;272.18;133.3365488;12504.4472;778.68;1175.23;190.81569592;137.408788;112.425372;4.706
Coexistence scenario;2009;AF2;2022_00;Hay;5;1.54;393.527245916752;43.9;90.4190711733333;616;395;400;0;0;0;NA
Coexistence scenario;2009;AF2;2023_00;Hay;5;3.42;393.527245916752;43.9;90.4190711733334;1368;395;400;0;0;0;NA
Coexistence scenario;2009;AF2;2025_00;WheatW;7.5;6.6;996.452245916752;272.18;138.6996;8068.5;810;1222.5;181.57875;30.9375;25.3125;6.623
Coexistence scenario;2009;AF2;2026_00;Hay;5;2.21;393.527245916752;43.9;90.4190711733334;884;395;400;0;0;0;NA
Coexistence scenario;2009;AF2;203_00;Hay;5;1.51;393.527245916752;43.9;90.4190711733333;604;395;400;0;0;0;NA
Coexistence scenario;2009;AF2;2030_00;Hay;5;5.41;393.527245916752;43.9;90.4190711733333;2164;395;400;0;0;0;NA
Coexistence scenario;2009;AF2;206_00;WheatW;7.21;6.14;966.921545916752;272.18;133.3365488;7215.9122;778.68;1175.23;163.8442875;49.149375;40.213125;6.154875
Coexistence scenario;2009;AF2;207_00;Hay;5;1.27;393.527245916752;43.9;90.4190711733333;508;395;400;0;0;0;NA
Coexistence scenario;2009;AF2;208_00;Hay;5;2.67;393.527245916752;43.9;90.4190711733334;1068;395;400;0;0;0;NA
Coexistence scenario;2009;AF2;209_00;Hay;5;0.5;393.527245916752;43.9;90.4190711733334;200;395;400;0;0;0;NA
Coexistence scenario;2009;AF3;501_00;WheatW;7.5;1.93;996.452245916752;272.18;138.6996;2359.425;810;1222.5;140.549024703704;5;2.77777777777778;4.68440740740741
Coexistence scenario;2009;AF3;5010_00;WheatW;7.5;0.45;996.452245916752;272.18;138.6996;550.125;810;1222.5;140.549024703704;5;2.77777777777778;4.68440740740741
Coexistence scenario;2009;AF3;5011_00;WheatW;7.5;5.88;996.452245916752;272.18;138.6996;7188.3;810;1222.5;140.549024703704;5;2.77777777777778;4.68440740740741
Coexistence scenario;2009;AF3;5011_01;WheatW;7.5;0.83;996.452245916752;272.18;138.6996;1014.675;810;1222.5;140.549024703704;5;2.77777777777778;4.68440740740741
Coexistence scenario;2009;AF3;5012_00;BarleyW;7;15.45;997.127245916752;263.4;128.28144;12112.8;539;784;120.6;0;0;3.918
Coexistence scenario;2009;AF3;5013_00;WheatW;7.5;3.33;996.452245916752;272.18;138.6996;4070.925;810;1222.5;140.549024703704;5;2.77777777777778;4.68440740740741
Coexistence scenario;2009;AF3;5014_00;WheatW;7.5;0.48;996.452245916752;272.18;138.6996;586.8;810;1222.5;140.549024703704;5;2.77777777777778;4.68440740740741
Coexistence scenario;2009;AF3;502_00;WheatW;7.5;8.49;996.452245916752;272.18;138.6996;10379.025;810;1222.5;140.549024703704;5;2.77777777777778;4.68440740740741
Coexistence scenario;2009;AF3;503_00;WheatW;7.5;4.68;996.452245916752;272.18;138.6996;5721.3;810;1222.5;140.549024703704;5;2.77777777777778;4.68440740740741
Coexistence scenario;2009;AF3;504_00;WheatW;7.5;1.09;996.452245916752;272.18;138.6996;1332.525;810;1222.5;140.549024703704;5;2.77777777777778;4.68440740740741
Coexistence scenario;2009;AF3;505_00;WheatW;7.5;10.47;996.452245916752;272.18;138.6996;12799.575;810;1222.5;140.549024703704;5;2.77777777777778;4.68440740740741
Coexistence scenario;2009;AF3;506_00;WheatW;7.5;1.95;996.452245916752;272.18;138.6996;2383.875;810;1222.5;140.549024703704;5;2.77777777777778;4.68440740740741
Coexistence scenario;2009;AF3;507_00;WheatW;7.5;4.14;996.452245916752;272.18;138.6996;5061.15;810;1222.5;140.549024703704;5;2.77777777777778;4.68440740740741
Coexistence scenario;2009;AF3;507_01;Fodder;7;7.11;337.68;43.9;133.40684;5972.4;738.5;840;0;0;0;NA
Coexistence scenario;2009;AF3;507_01;Hemp;5.67;7.11;5170.23527477344;114.14;113.3972784;9070.5825;NA;1275.75;112.60045088;234;130;2.104
Coexistence scenario;2009;AF3;508_00;WheatW;7.5;8.03;996.452245916752;272.18;138.6996;9816.675;810;1222.5;140.549024703704;5;2.77777777777778;4.68440740740741
Coexistence scenario;2009;AF3;509_00;WheatW;7.5;2.21;996.452245916752;272.18;138.6996;2701.725;810;1222.5;140.549024703704;5;2.77777777777778;4.68440740740741
Coexistence scenario;2009;AF4;601_00;Fodder;7.5;4.03;361.8;43.9;142.9359;3627;791.25;900;40.8817795555556;0;0;NA
Coexistence scenario;2009;AF4;601_00;sMaize;6.36;4.03;697.525796733402;245.84;117.65999684544;2152.9872;330.72;534.24;149.1313135;146.151737894737;216.414001578947;1.93025
Coexistence scenario;2009;AF4;6010_00;Hay;5;1.43;393.527245916752;43.9;90.4190711733333;572;395;400;0;0;0;NA
Coexistence scenario;2009;AF4;6011_00;Hay;5;2.05;393.527245916752;43.9;90.4190711733334;820;395;400;0;0;0;NA
Coexistence scenario;2009;AF4;6012_00;Hay;5;1.42;393.527245916752;43.9;90.4190711733334;568;395;400;0;0;0;NA
Coexistence scenario;2009;AF4;6013_00;Hay;5;1.67;393.527245916752;43.9;90.4190711733334;668;395;400;0;0;0;NA
Coexistence scenario;2009;AF4;6014_00;Hay;5;2.49;393.527245916752;43.9;90.4190711733334;996;395;400;0;0;0;NA
Coexistence scenario;2009;AF4;6015_00;OSR;5.2;2.21;1668.02084591675;263.4;150.992192;2321.384;660.4;1050.4;129.585446;208.175;170.325;2.898
Coexistence scenario;2009;AF4;6016_00;Hay;5;1.47;393.527245916752;43.9;90.4190711733333;588;395;400;0;0;0;NA
Coexistence scenario;2009;AF4;6017_00;OSR;5.2;5.44;1668.02084591675;263.4;150.992192;5714.176;660.4;1050.4;129.585446;208.175;170.325;2.898
Coexistence scenario;2009;AF4;6018_00;Fodder;7.5;3;361.8;43.9;142.9359;2700;791.25;900;40.8817795555556;0;0;NA
Coexistence scenario;2009;AF4;6018_00;sMaize;6.55;3;712.801796733402;245.84;121.1749967512;1650.6;340.6;550.2;149.1313135;146.151737894737;216.414001578947;1.93025
Coexistence scenario;2009;AF4;6019_00;Hay;5;5.39;393.527245916752;43.9;90.4190711733334;2156;395;400;0;0;0;NA
Coexistence scenario;2009;AF4;602_00;Hay;5;1.34;393.527245916752;43.9;90.4190711733333;536;395;400;0;0;0;NA
Coexistence scenario;2009;AF4;6020_00;Hay;5;2.55;393.527245916752;43.9;90.4190711733334;1020;395;400;0;0;0;NA
Coexistence scenario;2009;AF4;6021_00;Fodder;7.5;8.06;361.8;43.9;142.9359;7254;791.25;900;40.8817795555556;0;0;NA
Coexistence scenario;2009;AF4;6021_00;sMaize;6.55;8.06;712.801796733402;245.84;121.1749967512;4434.612;340.6;550.2;149.1313135;146.151737894737;216.414001578947;1.93025
Coexistence scenario;2009;AF4;60221_00;Fodder;7.5;1.34;361.8;43.9;142.9359;1206;791.25;900;44.408676;0;0;NA
Coexistence scenario;2009;AF4;60221_00;sMaize;6.55;1.34;712.801796733402;245.84;121.1749967512;737.268;340.6;550.2;213.3;247.5;202.5;1.8145
Coexistence scenario;2009;AF4;60222_00;Fodder;7.5;1.34;361.8;43.9;142.9359;1206;791.25;900;44.408676;0;0;NA
Coexistence scenario;2009;AF4;60222_00;sMaize;6.55;1.34;712.801796733402;245.84;121.1749967512;737.268;340.6;550.2;213.3;247.5;202.5;1.8145
Coexistence scenario;2009;AF4;6023_00;Fodder;7.5;5.68;361.8;43.9;142.9359;5112;791.25;900;40.8817795555556;0;0;NA
Coexistence scenario;2009;AF4;6023_00;sMaize;6.55;5.68;712.801796733402;245.84;121.1749967512;3125.136;340.6;550.2;149.1313135;146.151737894737;216.414001578947;1.93025
Coexistence scenario;2009;AF4;6024_00;Hay;5;2.78;393.527245916752;43.9;90.4190711733333;1112;395;400;0;0;0;NA
Coexistence scenario;2009;AF4;6025_00;Fodder;7.5;9.15;361.8;43.9;142.9359;8235;791.25;900;40.8817795555556;0;0;NA
Coexistence scenario;2009;AF4;6025_00;sMaize;6.55;9.15;712.801796733402;245.84;121.1749967512;5034.33;340.6;550.2;149.1313135;146.151737894737;216.414001578947;1.93025
Coexistence scenario;2009;AF4;6026_00;Fodder;7.5;5.57;361.8;43.9;142.9359;5013;791.25;900;40.8817795555556;0;0;NA
Coexistence scenario;2009;AF4;6026_00;sMaize;6.55;5.57;712.801796733402;245.84;121.1749967512;3064.614;340.6;550.2;149.1313135;146.151737894737;216.414001578947;1.93025
Coexistence scenario;2009;AF4;6027_00;Fodder;7.5;1.93;361.8;43.9;142.9359;1737;791.25;900;40.8817795555556;0;0;NA
Coexistence scenario;2009;AF4;6027_00;sMaize;6.55;1.93;712.801796733402;245.84;121.1749967512;1061.886;340.6;550.2;149.1313135;146.151737894737;216.414001578947;1.93025
Coexistence scenario;2009;AF4;603_00;Fodder;7.5;3.44;361.8;43.9;142.9359;3096;791.25;900;40.8817795555556;0;0;NA
Coexistence scenario;2009;AF4;603_00;sMaize;6.36;3.44;697.525796733402;245.84;117.65999684544;1837.7856;330.72;534.24;149.1313135;146.151737894737;216.414001578947;1.93025
Coexistence scenario;2009;AF4;604_00;WheatW;7.5;6.16;996.452245916752;272.18;138.6996;7530.6;810;1222.5;106.255032;0;0;4.557
Coexistence scenario;2009;AF4;605_00;WheatW;7.5;2.47;996.452245916752;272.18;138.6996;3019.575;810;1222.5;142.595649473684;0;0;3.15526315789474
Coexistence scenario;2009;AF4;606_00;Hay;5;5.21;393.527245916752;43.9;90.4190711733334;2084;395;400;0;0;0;NA
Coexistence scenario;2009;AF4;607_00;Hay;5;1.13;393.527245916752;43.9;90.4190711733333;452;395;400;0;0;0;NA
Coexistence scenario;2009;AF4;608_00;Fodder;7.45;1.99;359.388;43.9;141.982994;1779.06;785.975;894;40.8817795555556;0;0;NA
Coexistence scenario;2009;AF4;609_00;Fodder;7.45;3.3;359.388;43.9;141.982994;2950.2;785.975;894;40.8817795555556;0;0;NA
Coexistence scenario;2009;AF4;6098_00;Hay;5;1.01;393.527245916752;43.9;90.4190711733333;404;395;400;0;0;0;NA
Coexistence scenario;2009;AF4;6099_00;Hay;5;1.65;393.527245916752;43.9;90.4190711733334;660;395;400;0;0;0;NA
Coexistence scenario;2009;AF5;801_00;Hay;5;2.25;393.527245916752;43.9;90.4190711733333;900;395;400;0;0;0;NA
Coexistence scenario;2009;AF5;8011_00;WheatW;7.43;1.44;989.324145916752;272.18;137.4050704;1743.9696;802.44;1211.09;149.33959;38.83439;19.417195;17.4346
Coexistence scenario;2009;AF5;8012_00;WheatW;7.43;5.97;989.324145916752;272.18;137.4050704;7230.2073;802.44;1211.09;190.8355376;28.917;14.4585;12.27482
Coexistence scenario;2009;AF5;8014_00;Hay;5;1.86;393.527245916752;43.9;90.4190711733334;744;395;400;0;0;0;NA
Coexistence scenario;2009;AF5;8016_00;Tritic;7.43;1.46;1183.63350591675;263.4;134.2963584;1247.497;557.25;854.45;164.872096;49.00896;24.50448;16.2662666666667
Coexistence scenario;2009;AF5;8017_00;WheatW;7.43;8.92;989.324145916752;272.18;137.4050704;10802.9228;802.44;1211.09;190.8355376;28.917;14.4585;12.27482
Coexistence scenario;2009;AF5;8019_00;Tritic;7.43;4.4;1183.63350591675;263.4;134.2963584;3759.58;557.25;854.45;164.872096;49.00896;24.50448;16.2662666666667
Coexistence scenario;2009;AF5;802_00;Hay;5;1.69;393.527245916752;43.9;90.4190711733333;676;395;400;0;0;0;NA
Coexistence scenario;2009;AF5;8020_00;Tritic;7.43;8.72;1183.63350591675;263.4;134.2963584;7450.804;557.25;854.45;164.872096;49.00896;24.50448;16.2662666666667
Coexistence scenario;2009;AF5;8021_00;Fodder;7;8.45;337.68;43.9;133.40684;7098;738.5;840;0;0;0;NA
Coexistence scenario;2009;AF5;8022_00;Hay;5;6.2;393.527245916752;43.9;90.4190711733334;2480;395;400;0;0;0;NA
Coexistence scenario;2009;AF5;8023_00;Hay;5;3.81;393.527245916752;43.9;90.4190711733334;1524;395;400;0;0;0;NA
Coexistence scenario;2009;AF5;8024_00;Tritic;7.43;4.38;1183.63350591675;263.4;134.2963584;3742.491;557.25;854.45;164.872096;49.00896;24.50448;16.2662666666667
